Celebrity,Age,Race,Gender,Dance Role,Notability,Category,Professional Partner,Season,Finish,Average Judge Score
Marla Maples,52,White,Female,Follower,Actress,Acting,Tony Dovolani,Season 22,10,6.92307692307692
Doug Flutie,53,White,Male,Leader,Professional Football Player,National Athlete,Karina Smirnoff,Season 22,9,6.4
Kim Fields,46,Black,Female,Follower,Actress,Acting,Sasha Farber,Season 22,7,7.61538461538462
Von Miller,27,Black,Male,Leader,Professional Football Player,National Athlete,Witney Carson,Season 22,7,7.57692307692308
Jodie Sweetin,34,White,Female,Follower,Actress,Acting,Keo Motsepe,Season 22,6,8.15625
Antonio Brown,28,Black,Male,Leader,Professional Football Player,National Athlete,Sharna Burgess,Season 22,4,8.78947368421053
Wanyá Morris,42,Black,Male,Leader,Singer,Music,Lindsay Arnold,Season 22,4,8.18421052631579
Ginger Zee,35,White,Female,Follower,Meterologist,Talk Show & News,Valentin Chmerkovskiy,Season 22,3,8.76595744680851
Paige VanZant,22,White,Female,Follower,Professional UFC Fighter,Fighter,Mark Ballas,Season 22,2,9
Nyle DiMarco,27,White,Male,Leader,Model,Influencer,Peta Murgatroyd,Season 22,1,8.97872340425532
Jake T. Austin,21,Hispanic/Latino,Male,Leader,Actor,Acting,Jenna Johnson,Season 23,13,5.75
Rick Perry,66,White,Male,Leader,Former Governor of Texas,Public Server,Emma Slater,Season 23,12,5.41666666666667
Babyface Edmonds,57,Black,Male,Leader,"Singer-songwriter, Record Producer",Music,Allison Holker,Season 23,11,6.6
Vanilla Ice,48,White,Male,Leader,Rapper,Music,Witney Carson,Season 23,10,6.46666666666667
Amber Rose,32,White,Female,Follower,"Model, TV Host",Influencer,Maksim Chmerkovskiy,Season 23,9,6.77272727272727
Maureen McCormick,60,White,Female,Follower,Actress,Acting,Artem Chigvintsev,Season 23,8,7.36666666666667
Ryan Lochte,32,White,Male,Leader,Olympic Swimmer,Olympic Athlete,Cheryl Burke,Season 23,7,7.3030303030303
Marilu Henner,64,White,Female,Follower,"Actress,",Acting,Derek Hough,Season 23,6,7.92682926829268
Terra Jolé,36,White,Female,Follower,Reality TV Personality,Influencer,Sasha Farber,Season 23,5,8.40425531914894
Jana Kramer,32,White,Female,Follower,"Singer, Actress","Music, Acting",Gleb Savchenko,Season 23,4,8.65454545454545
Calvin Johnson Jr.,31,Black,Male,Leader,Professional Football Player,National Athlete,Lindsay Arnold,Season 23,3,8.79661016949153
James Hinchcliffe,29,White,Male,Leader,IndyCar Driver,Racing/Riding,Sharna Burgess,Season 23,2,9.1864406779661
Laurie Hernandez,16,Hispanic/Latino,Female,Follower,Olympic Gymnast,Olympic Athlete,Valentin Chmerkovskiy,Season 23,1,9.25423728813559
Chris Kattan,46,White,Male,Leader,"Actor, Comedian",Other Shows,Witney Carson,Season 24,12,4.875
Charo,66,Hispanic/Latino,Female,Follower,Singer,Music,Keo Motsepe,Season 24,11,5.83333333333333
Mr. T,64,Black,Male,Leader,Actor,Acting,Kym Herjavec,Season 24,10,5.875
Erika Jayne,45,White,Female,Follower,Reality TV Personality,Influencer,Gleb Savchenko,Season 24,9,7
Heather Morris,30,White,Female,Follower,"Actress, Dancer",Acting,Maksim Chmerkovskiy,Season 24,8,8.35714285714286
Nancy Kerrigan,47,White,Female,Follower,Olympic Figure Skater,Olympic Athlete,Artem Chigvintsev,Season 24,6,7.3125
Nick Viall,36,White,Male,Leader,Reality TV Personality,Influencer,Peta Murgatroyd,Season 24,6,8.15625
Bonner Bolton,29,White,Male,Leader,Professional Bull Rider,Racing/Riding,Sharna Burgess,Season 24,5,7.225
